利用日付,利用時間,利用曜日,利用者ID,利用者名,身分,部局,連携用コード,学年,利用装置,判定結果
2016/06/01,10:28:03,水曜日,,,学生,工学部,,2,入館ゲート1,許可
2016/06/01,10:28:06,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:28:08,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:28:12,水曜日,,,学生,教育学部,入館可,,入館ゲート1,許可
2016/06/01,10:28:14,水曜日,,,学生,教育学部,入館可,2,入館ゲート2,許可
2016/06/01,10:28:15,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:28:20,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:28:22,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:28:23,水曜日,,,学生,経済学部,,4,入館ゲート1,許可
2016/06/01,10:28:25,水曜日,,,学生,理学部,,1,入館ゲート1,許可
2016/06/01,10:28:25,水曜日,,,学生,経済学部,,4,入館ゲート2,許可
2016/06/01,10:28:27,水曜日,,,学生,文学部,,3,入館ゲート2,許可
2016/06/01,10:28:28,水曜日,,,学生,理学部,,1,入館ゲート1,許可
2016/06/01,10:28:30,水曜日,,,学生,工学部,,2,入館ゲート2,許可
2016/06/01,10:28:34,水曜日,,,学生,理学部,入館可,1,入館ゲート1,許可
2016/06/01,10:28:34,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:28:36,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:28:39,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:28:42,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:28:42,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:28:43,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:28:44,水曜日,,,学生,工学部,,1,入館ゲート1,許可
